id,zipcode,lot-len,lot-width,lot-area,house-area,garden-size,balcony,x-coor,y-coor,buildyear,bathrooms,taxvalue,energy-eff,monument,select
903324,3500,16.2,7.4,119.9,166.5,45.9,2,2619,5803,1996,2,762000,1,0,7
313648,3525,12.1,8.5,102.9,191.25,17.9,2,2205,5915,2010,2,847000,1,0,7
480173,3800,18.6,5.2,96.7,70.2,44.7,1,2862,5006,1929,1,358000,1,1,8
272619,3525,10.6,8.6,91.2,193.5,8.6,0,2057,5653,1988,1,847000,0,0,8
623470,3525,13.5,7.1,95.9,127.8,10.7,2,2351,5852,2004,2,588000,1,0,8
283763,3500,18.1,8,144.8,180,48.8,2,2814,5910,2005,1,836000,0,0,8
133939,3500,16.6,6.9,114.5,155.25,31.7,1,2661,5961,2014,1,713000,1,0,8
850881,3528,14,6,84,81,12,1,2401,5202,1939,1,391000,1,1,9
431374,3800,18.5,6.2,114.7,139.5,46.5,1,2850,5303,1950,2,650000,1,1,9
851593,3800,19.6,8.5,166.6,153,73.1,1,2958,5366,1959,1,745000,0,1,9
161921,3800,16,10.5,168,141.75,52.5,2,2603,5457,1967,1,701000,0,1,9
952542,3500,17.2,9.1,156.5,163.8,74.6,2,2719,5615,1978,2,780000,1,1,9
582591,3800,19.6,10.1,198,136.35,76.8,1,2959,5607,1979,2,704000,1,1,9
222645,3525,12,9,108,121.5,9,0,2201,5665,1985,2,572000,1,0,9
673047,3525,12.1,7.8,94.4,175.5,7.8,0,2209,5758,1991,1,778000,0,0,9
213683,3525,14.1,8.5,119.9,153,17.9,1,2413,5908,2004,1,708000,0,0,9
633809,3525,10,7.3,73,98.55,7.3,0,2000,5962,2007,1,453000,1,0,9
741215,3528,10.5,8.6,90.3,154.8,12.9,2,2051,5304,1958,1,691000,0,1,10
841248,3528,12.1,10.9,131.9,196.2,12,2,2212,5301,1956,1,890000,0,1,10
151906,3800,15.1,8.7,131.4,156.6,27,1,2505,5468,1964,2,732000,1,1,10
